      6001
0.000000 0.000000 0.000000
0.033333 0.000000 0.000918
0.066667 0.000031 0.001784
0.100000 0.000090 0.002549
0.133333 0.000175 0.003172
0.166667 0.000281 0.003621
0.200000 0.000401 0.003873
0.233333 0.000531 0.003916
0.266667 0.000661 0.003747
0.300000 0.000786 0.003374
0.333333 0.000898 0.002808
0.366667 0.000992 0.002069
0.400000 0.001061 0.001179
0.433333 0.001100 0.000161
0.466667 0.001106 -0.000960
0.500000 0.001074 -0.002160
0.533333 0.001002 -0.003418
0.566667 0.000888 -0.004714
0.600000 0.000731 -0.006028
0.633333 0.000530 -0.007344
0.666667 0.000285 -0.008650
0.700000 -0.000003 -0.009932
0.733333 -0.000334 -0.011180
0.766667 -0.000707 -0.012385
0.800000 -0.001120 -0.013539
0.833333 -0.001571 -0.014634
0.866667 -0.002059 -0.015663
0.900000 -0.002581 -0.016618
0.933333 -0.003135 -0.017491
0.966667 -0.003718 -0.018275
1.000000 -0.004327 -0.018959
1.033333 -0.004959 -0.019532
1.066667 -0.005610 -0.019984
1.100000 -0.006276 -0.020298
1.133333 -0.006953 -0.020461
1.166667 -0.007635 -0.020452
1.200000 -0.008317 -0.020253
1.233333 -0.008992 -0.019842
1.266667 -0.009653 -0.019193
1.300000 -0.010293 -0.018282
1.333333 -0.010902 -0.017081
1.366667 -0.011472 -0.015563
1.400000 -0.011990 -0.013703
1.433333 -0.012447 -0.011477
1.466667 -0.012830 -0.008865
1.500000 -0.013125 -0.005855
1.533333 -0.013321 -0.002442
1.566667 -0.013402 0.001365
1.600000 -0.013356 0.005545
1.633333 -0.013172 0.010058
1.666667 -0.012836 0.014848
1.700000 -0.012341 0.019836
1.733333 -0.011680 0.024926
1.766667 -0.010849 0.030004
1.800000 -0.009849 0.034941
1.833333 -0.008685 0.039598
1.866667 -0.007365 0.043836
1.900000 -0.005903 0.047515
1.933333 -0.004320 0.050510
1.966667 -0.002636 0.052711
2.000000 -0.000879 0.054033
2.033333 0.000922 0.054419
2.066667 0.002736 0.053843
2.100000 0.004531 0.052313
2.133333 0.006275 0.049865
2.166667 0.007937 0.046564
2.200000 0.009489 0.042498
2.233333 0.010906 0.037774
2.266667 0.012165 0.032509
2.300000 0.013248 0.026829
2.333333 0.014143 0.020857
2.366667 0.014838 0.014713
2.400000 0.015328 0.008507
2.433333 0.015612 0.002339
2.466667 0.015690 -0.003707
2.500000 0.015566 -0.009560
2.533333 0.015248 -0.015163
2.566667 0.014742 -0.020474
2.600000 0.014060 -0.025463
2.633333 0.013211 -0.030109
2.666667 0.012207 -0.034402
2.700000 0.011061 -0.038335
2.733333 0.009783 -0.041910
2.766667 0.008386 -0.045130
2.800000 0.006881 -0.048000
2.833333 0.005281 -0.050525
2.866667 0.003597 -0.052710
2.900000 0.001840 -0.054557
2.933333 0.000022 -0.056067
2.966667 -0.001847 -0.057236
3.000000 -0.003755 -0.058058
3.033333 -0.005690 -0.058520
3.066667 -0.007641 -0.058608
3.100000 -0.009595 -0.058301
3.133333 -0.011538 -0.057573
3.166667 -0.013457 -0.056395
3.200000 -0.015337 -0.054733
3.233333 -0.017161 -0.052550
3.266667 -0.018913 -0.049805
3.300000 -0.020573 -0.046457
3.333333 -0.022122 -0.042467
3.366667 -0.023537 -0.037797
3.400000 -0.024797 -0.032419
3.433333 -0.025878 -0.026311
3.466667 -0.026755 -0.019469
3.500000 -0.027404 -0.011904
3.533333 -0.027801 -0.003653
3.566667 -0.027923 0.005224
3.600000 -0.027748 0.014636
3.633333 -0.027261 0.024462
3.666667 -0.026445 0.034550
3.700000 -0.025293 0.044721
3.733333 -0.023803 0.054773
3.766667 -0.021977 0.064486
3.800000 -0.019827 0.073632
3.833333 -0.017373 0.081983
3.866667 -0.014640 0.089321
3.900000 -0.011663 0.095447
3.933333 -0.008481 0.100189
3.966667 -0.005142 0.103413
4.000000 -0.001695 0.105020
4.033333 0.001806 0.104957
4.066667 0.005305 0.103217
4.100000 0.008745 0.099834
4.133333 0.012073 0.094888
4.166667 0.015236 0.088493
4.200000 0.018186 0.080800
4.233333 0.020879 0.071985
4.266667 0.023279 0.062243
4.300000 0.025353 0.051783
4.333333 0.027079 0.040814
4.366667 0.028440 0.029545
4.400000 0.029425 0.018172
4.433333 0.030030 0.006874
4.466667 0.030260 -0.004190
4.500000 0.030120 -0.014883
4.533333 0.029624 -0.025096
4.566667 0.028787 -0.034743
4.600000 0.027629 -0.043759
4.633333 0.026171 -0.052104
4.666667 0.024434 -0.059753
4.700000 0.022442 -0.066696
4.733333 0.020219 -0.072934
4.766667 0.017788 -0.078476
4.800000 0.015172 -0.083334
4.833333 0.012394 -0.087523
4.866667 0.009477 -0.091058
4.900000 0.006441 -0.093950
4.933333 0.003310 -0.096207
4.966667 0.000103 -0.097830
5.000000 -0.003158 -0.098815
5.033333 -0.006452 -0.099150
5.066667 -0.009757 -0.098814
5.100000 -0.013051 -0.097781
5.133333 -0.016310 -0.096017
5.166667 -0.019511 -0.093478
5.200000 -0.022627 -0.090119
5.233333 -0.025631 -0.085888
5.266667 -0.028494 -0.080733
5.300000 -0.031185 -0.074602
5.333333 -0.033672 -0.067452
5.366667 -0.035920 -0.059246
5.400000 -0.037895 -0.049966
5.433333 -0.039560 -0.039612
5.466667 -0.040881 -0.028212
5.500000 -0.041821 -0.015828
5.533333 -0.042349 -0.002556
5.566667 -0.042434 0.011469
5.600000 -0.042052 0.026071
5.633333 -0.041183 0.041037
5.666667 -0.039815 0.056121
5.700000 -0.037944 0.071050
5.733333 -0.035576 0.085535
5.766667 -0.032725 0.099281
5.800000 -0.029415 0.111996
5.833333 -0.025682 0.123403
5.866667 -0.021568 0.133249
5.900000 -0.017127 0.141312
5.933333 -0.012416 0.147413
5.966667 -0.007503 0.151410
6.000000 -0.002456 0.153212
6.033333 0.002651 0.152772
6.066667 0.007744 0.150093
6.100000 0.012747 0.145223
6.133333 0.017588 0.138257
6.166667 0.022196 0.129331
6.200000 0.026507 0.118619
6.233333 0.030461 0.106331
6.266667 0.034006 0.092703
6.300000 0.037096 0.077992
6.333333 0.039695 0.062469
6.366667 0.041778 0.046409
6.400000 0.043325 0.030082
6.433333 0.044327 0.013746
6.466667 0.044786 -0.002362
6.500000 0.044707 -0.018029
6.533333 0.044106 -0.033075
6.566667 0.043003 -0.047351
6.600000 0.041425 -0.060741
6.633333 0.039400 -0.073162
6.666667 0.036962 -0.084557
6.700000 0.034143 -0.094895
6.733333 0.030980 -0.104165
6.766667 0.027508 -0.112371
6.800000 0.023762 -0.119524
6.833333 0.019778 -0.125646
6.866667 0.015590 -0.130754
6.900000 0.011231 -0.134869
6.933333 0.006736 -0.138002
6.966667 0.002135 -0.140160
7.000000 -0.002537 -0.141339
7.033333 -0.007248 -0.141527
7.066667 -0.011965 -0.140698
